8,IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022
2168,Annex_I,Central Europe,LVA,Latvia,1.A.2,Manufacturing Industries and Construction,SO2,bio,,,,,,,,,,,,,,,,,,,,,0.012360211064796,0.01181260854187,0.011360391859314,0.057857813632772,0.067368196885422,0.082293995721435,0.092162372853661,0.097269408136511,0.11608532969413,0.11485686104178,0.095119068561315,0.13709017206473,0.11969500769706,0.11635430847831,0.16830958955741,0.19995026601458,0.23348455945749,0.1933653879281,0.20822161323309,0.31366535375948,0.36357673761101,0.41587373583148,0.47405758284686,0.49459514721332,0.56802888203681,0.5758628295186,0.53154741776493,0.59668421046314,0.68736602659073,0.67221350024829,0.73500074382547,0.76064700868304,0.76065329543436
2169,Annex_I,Central Europe,LVA,Latvia,1.A.3.b_noRES,Road Transportation no resuspension,SO2,bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5521745621161e-06,1.0968122676557e-05,5.1841244434039e-06,4.592934711999e-06,1.086666456514e-05,5.4331588493657e-05,3.7653174870648e-05,2.3054576679382e-05,2.314526832345e-05,2.6540520134326e-05,2.7178773061084e-05,1.2404883995284e-05,1.1546801494817e-05,4.5978485254042e-05,4.2291112474601e-05,5.6305957295112e-05,5.7052169788967e-05,5.8696165614146e-05
2170,Annex_I,Central Europe,LVA,Latvia,1.A.3.c,Railways,SO2,bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037199699401855,0.037199699401855,0.018599849700928,0.037199699401855,0.037199699401855,0.037199699401855,0.014674750328064,0.039211498260498,0.027193250656128,0.02110984992981,0.021401126000011,0.022029669098864
2171,Annex_I,Central Europe,LVA,Latvia,1.A.4,Residential and other sectors,SO2,bio,2.0696662245839,2.0696662245839,2.0457117358273,2.0001990140922,2.0313395232812,1.9690559542077,1.9738483676608,1.9331255086834,1.8636583227175,1.8708444167276,1.8900064920313,1.9279209023755,1.9748244590408,1.893781924391,1.9988162295897,2.0249764667524,1.8733301183168,1.9927989124147,1.8620479936629,1.7028682360542,1.0103299682617,1.2209048950195,1.2062200512695,1.3004799169922,1.3191000357676,1.4452748322964,1.496065061512,1.4224300625991,1.424890009613,1.402130019989,1.3463600316334,1.4579350603199,1.4361299657154,1.5173100341663,1.5415694094257,1.5468880601406,1.5043788256645,1.4884323804741,1.4265593993473,1.5914440903397,1.2039005758708,1.2392383004506,1.3504168556652,1.1990438950426,1.1623057470722,0.95559408011132,0.94019108448291,1.0531035934401,1.0985844346509,1.0496016541714,0.94691330804086,0.98184585695683,0.98287677490869
2172,Annex_I,Central Europe,LVA,Latvia,1.A.5,Non-Specified,SO2,bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173,Annex_I,Central Europe,LVA,Latvia,3.C.1,Emissions from biomass burning,SO2,bio,0.00017046221341323,0.00016663977518687,0.00015186162120649,0.00017505584653424,0.00016975451302906,0.0001390636565485,0.00017933364960679,0.0001591776209588,0.00018841048310064,0.00015062836787891,0.00016196393033111,0.00014094753551658,0.00015859922601104,0.00016110293489597,0.00014460941049525,0.00014869220410806,0.0001518007218096,0.00014890672153749,0.00014398713954507,0.00015053056211591,0.00015991754899525,0.00012127197962732,0.0001412079168668,0.00014666986846147,8.3965130426557e-05,7.5946334410283e-05,0.00010196459387022,0.00011040862558678,0.00010459034797982,8.816251887599e-05,0.00010019651781525,0.0001073294239086,0.00011749282947069,0.00011158356512658,0.00012126565117228,0.00014946858073059,0.00014295851958514,0.00018484991499949,0.00021421916207727,0.00022060381175858,0.00020021994945666,0.0001939589238146,0.00029580032754691,0.00027464713203387,0.00029311975034308,0.00042391992646744,0.00039512499323788,0.00040344027797644,0.00031125187974456,0.00046848905932486,0.0005221707374978,0.00044110282804222,0.00046987353659738
2174,Annex_I,Central Europe,LVA,Latvia,1.A.1.a,Main Activity Electricity and Heat Production,SO2,fossil,28.530667654621,28.384185904346,31.059967224141,36.152931638977,40.35757168365,44.190077174452,45.868098695338,46.882715131898,49.070214292828,50.416270693822,51.99188918229,52.042343832798,52.059668581088,51.654084294699,49.773581728933,48.356655257845,47.118631468427,46.450415159669,43.525973893111,38.972847633247,50.156444590985,39.774835703356,37.170106479412,29.4446117066,23.396615372102,17.99635721983,21.656257251211,14.073924134196,12.62610105275,10.439522121709,5.1570059852077,3.2985199487361,2.812666333397,1.9773028607907,1.6394861036441,1.2099796779601,0.82564590761467,0.98152648116371,0.9372232798414,0.99102497738455,0.91451366740349,0.92846944159833,0.94282301812148,0.87662423822879,0.51569527957955,0.44027153221956,0.46249578912578,0.39155069983537,0.45632853662838,0.48889395799804,0.28187490716454,0.28187490716454,0.28017173018084
2175,Annex_I,Central Europe,LVA,Latvia,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,SO2,fossil,0.075148026955927,0.075050174109822,0.07645169204684,0.078050210112394,0.079618895174905,0.075421481276085,0.082030841442099,0.084256927361989,0.15079779153765,0.15457512137012,0.15401573545517,0.15378747611767,0.1550775579167,0.15476549879595,0.15902229746145,0.16687925977404,0.16869222567044,0.17002342808844,0.17196739438563,0.17342469769124,0.18350350941976,0.36152850036621,0.39167850036621,0.2529890991211,0.21285883154297,0.27134987182617,0.18089987182617,0.21996023254394,0.97965974731445,0.90442041015625,0.67999908447266,,,,,,,,,,,,,,,,,,,,,,
2176,Annex_I,Central Europe,LVA,Latvia,1.A.2,Manufacturing Industries and Construction,SO2,fossil,16.07631722415,15.884908210224,16.764115887631,17.542224958986,18.157096121646,18.52376650114,19.121157517519,19.696683078829,20.25026869108,20.668659127003,21.154441123375,20.351164254394,19.453908898722,18.507869983913,17.573209515567,16.178445818641,15.973399721789,15.803961406462,15.524285439021,14.825671019616,11.187903354576,6.7455147342753,5.8022242521861,7.3449839666343,6.9617854215756,5.8214634619032,4.7368846400201,5.8486421098862,5.0232437349765,4.4004221002909,3.2838599008795,2.4248239360376,2.272826703875,2.3860768212581,2.3141709640028,2.3308117931118,2.6473939416733,2.8821574797783,2.6137102534218,2.071143249773,3.1772050820084,3.4178501692733,3.5477835289879,3.0474087233315,3.1746957144532,2.6315247691002,2.1334303003731,2.0139510700953,2.6602122497376,2.4268462318361,2.4817102836915,2.4664223961183,2.4517410142191
2177,Annex_I,Central Europe,LVA,Latvia,1.A.3.a,Civil Aviation,SO2,fossil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010299930857993,,0.0010299930857993,,,,0.0010299930857993,0.0010299930857993,0.0010299930857993,,,0.001470072719212,0.00038020375169111,0.00020148610665623,0.00041570867422991,0.00050080042844328,0.00076759853279978
