iter	MultiClass
0	1.246614351
1	1.136832512
2	1.032432314
3	0.9511271412
4	0.8686594106
5	0.7982680717
6	0.7412304258
7	0.6862296738
8	0.6442807988
9	0.6042738197
10	0.5731855016
11	0.5357100082
12	0.5053384284
13	0.4776282546
14	0.4533179392
15	0.4307131619
16	0.4079492225
17	0.3872990473
18	0.3718180645
19	0.3547260787
20	0.3402534144
21	0.3287510642
22	0.3130348311
23	0.3021780935
24	0.2951832948
25	0.2841332987
26	0.2742786366
27	0.263906817
28	0.253212209
29	0.2463620862
30	0.2376462391
31	0.2309010971
32	0.2248677701
33	0.2199358634
34	0.2150037557
35	0.2094449677
36	0.2035166451
37	0.1996839742
38	0.1945459268
39	0.1904518928
40	0.185916973
41	0.1819724961
42	0.1769950853
43	0.1733536652
44	0.1699604276
45	0.1659780424
46	0.1630558892
47	0.1595310409
48	0.156619017
49	0.151798085
50	0.1482532136
51	0.1462399806
52	0.1438938312
53	0.1410215829
54	0.138048863
55	0.1352105467
56	0.1333793858
57	0.1313720093
58	0.130335843
59	0.1283753555
60	0.1268453581
61	0.1251808923
62	0.1222752414
63	0.1208003884
64	0.1192658459
65	0.1170891304
66	0.1139280889
67	0.1132352428
68	0.1116503597
69	0.1104474149
70	0.1086426033
71	0.1072697269
72	0.1056164132
73	0.1043205786
74	0.1030396411
75	0.1020074979
76	0.100665499
77	0.09964032075
78	0.09849073191
79	0.09635662239
80	0.09545288495
81	0.09423124526
82	0.09315602981
83	0.09235357914
84	0.0915057537
85	0.09053223432
86	0.08957747407
87	0.08894872868
88	0.08750376708
89	0.08597796929
90	0.08489797242
91	0.08430487866
92	0.08291736852
93	0.08210514419
94	0.08091680476
95	0.08001307109
96	0.07899886491
97	0.0784665314
98	0.07768433335
99	0.07734044192
